name,years active,player id,position
Luke Ayling,2009-2020,420d7c7d,MF
Finn Azaz,2017-2020,b6f54c31,MF
Aymen Azaze,2018-2020,54a9dd59,MF
Ade Azeez,2012-2020,c7b4fa70,FW
Femi Azeez,2019-2020,2d590087,MF
Miguel Azeez,2019-2020,660e71be,MF
Rinsola Babajide,2017-2020,ca9f6f0a,FW
Sophie Baggaley,2017-2020,410be8c7,GK
Jade Bailey,2016-2020,3829d6df,MF
Odin Bailey,2017-2020,549ecd3e,MF
Owen Bailey,2017-2020,dee69b15,DF
Sam Bailey,2019-2020,13e323d1,DF
Jack Bainbridge,2016-2020,40c6f92e,DF
Leighton Baines,2002-2020,b18095b6,DF
Lewis Baines,2018-2020,b06224eb,DF
Ibrahim Bakare,2019-2020,1033876,DF
Lewis Baker,2014-2020,1b278bf5,MF
Nathan Baker,2009-2020,b18af9e3,DF
Courtney Baker-Richardson,2013-2020,3e2edcd1,FW
Tyreeq Bakinson,2015-2020,f918369c,MF
Alberto Balde Almanzar,2018-2020,55174a75,FW
George Baldock,2009-2020,394854c4,DF
Sam Baldock,2006-2020,9d597f08,MF
Aiden Baldwin,2015-2020,8637abd1,DF
Jack Baldwin,2011-2020,8ae7c4f9,DF
Adam Bale,2017-2020,e8a4fedd,MF
David Ball,2010-2020,c538e9e7,MF
Dominic Ball,2014-2020,79d61875,MF
Jimmy Ball,2015-2020,ba63ed1e,MF
Folarin Balogun,2017-2020,31822f8c,FW
Jamal Balogun,2017-2020,57e3d0f1,DF
Patrick Bamford,2011-2020,93feac6e,FW
Jacob Bancroft,2018-2020,dc2ab35a,MF
Ollie Banks,2010-2020,d4ec6c9a,MF
Amrit Bansal-McNulty,2018-2020,468482fd,MF
Will Bapaga,2019-2020,2dfb3ec3,MF
Alex Baptiste,2002-2020,7b72f0b6,DF
Jamal Baptiste,2019-2020,41d3704d,DF
Ben Barclay,2017-2020,17dff2e1,DF
Jonathan Barden,2017-2020,22d56182,MF
Jack Barham,2018-2020,eacfb653,FW
Brandon Barker,2015-2020,3098c0df,MF
Kyle Barker,2019-2020,209b8ee5,MF
Tom Barkhuizen,2011-2020,9cf7496b,MF
Ross Barkley,2011-2020,3a24769f,MF
Aidan Barlow,2016-2020,d67c87a4,MF
Dillon Barnes,2015-2020,76eb782e,GK
Harvey Barnes,2016-2020,3ea50f67,MF
Joshua Barnes,2016-2020,d6293ff8,GK
Marcus Barnes,2016-2020,fc4d1618,FW
Samuel Barnes,2017-2020,2d3cdd17,DF
Ryan Barnett,2016-2020,dfe6cd27,MF
Tyrone Barnett,2010-2020,ba241676,FW
Jazzi Barnum-Bobb,2014-2020,89903d20,DF
Sam Barratt,2015-2020,8506c40f,FW
Jack Barrett,2019-2020,6217792f,GK
Mason Barrett,2018-2020,539455f1,DF
Bradley Barry,2015-2020,e1a0d29c,MF
Kyle Bartley,2009-2020,18e96f64,DF
Marvin Bartley,2007-2020,be726139,MF
Kirsty Barton,2018-2020,7c6d13ea,DF
Molly Bartrip,2017-2020,a6f1d507,DF
Chris Basham,2006-2020,1aa84968,MF
Alex Bass,2014-2020,3278d395,GK
Lewis Bate,2019-2020,cd4256d3,MF
Joseph Bateman,2016-2020,77893c61,DF
Alfie Bates,2018-2020,03d7cf5d,MF
Ollie Battersby,2018-2020,b7546e22,GK
Danny Batth,2009-2020,f1d0fa63,DF
Daniel Batty,2016-2020,96c92a74,MF
Callum Baughan,2018-2020,2.63E+09,MF
Jake Baxter,2018-2020,f82b64ca,FW
Jose Baxter,2008-2020,185990eb,MF
Nathan Baxter,2016-2020,5cfbc814,GK
Tom Bayliss,2017-2020,527f75c6,MF
Isaiah Bazeley,2017-2020,1061e0f3,DF
Tom Beadling,2014-2020,a5fe79d3,MF
Lewis Beale,2019-2020,1d0a2856,DF
Kenny Beaney,2019-2020,ac51b972,MF
Chris Beardsley,2002-2020,7aa4c2c8,FW
Jack Bearne,2018-2020,3735641b,MF
Tom Bearwish,2016-2020,5b22182c,FW
Harry Beautyman,2013-2020,b6623a0a,MF
Jacob Bedeau,2016-2020,a689a7df,DF
Joe Bedford,2018-2020,6b2d2adc,MF
Lexus Beeden,2019-2020,67b2f625,DF
Mitchell Beeney,2014-2020,dc630911,GK
Jake Beesley,2014-2020,71df6e0e,FW
