,Player Name,Players ID,Years Active,Position Played
114,Eduardo Alejandro López,ef8e1bab,2011-2016,DF
115,Daniel Alejandro Pérez,779e51e4,érez 2015,DF
116,Matías Alejandro Quiroga,2a96f422,2009-2012,FW
117,Matías Alejandro Quiroga,8cac8930,2016-2018,FW
118,Germán Alemanno,4f1a5246,2004-2015,FW
119,Agustín Aleo,a59f65ae,2017-2020,FW
120,Lucas Alessandría,1a9b820c,2001-2008,DF
121,Cristian Alessandrini,b9b2c3c2,2011-2019,FW
122,Jonatan Alessandro,1ca7ae47,2014-2015,MF
123,Juan Fernández Di Alessio,d616d53d,2002-2007,MF
124,Alexander,3e1858af,2012-2019,MF
125,César Alexis Canario,28017801,ario 2009,FW
126,Patricio Alexis Goglino,8d7279fc,2019-2020,FW
127,Tomás Alexis Oneto,7e0f9aa5,2018-2020,DF
128,Ramiro Alexis,b8d8af6a,2015-2017,DF
129,Renzo Alfani,bc939603,2016-2020,DF
130,Gonzalo Alfaro Moreno,ac5da07c,reno 2017,FW
131,Brian Alferez,689c9963,2017-2019,DF
132,Facundo Alfonso,36103cbd,2008-2009,MF
133,Raúl Alfredo Cascini,16143756,2000-2005,MF
134,Jorge Alfredo González,9656d47f,ález 2009,FW
135,Miguel Alfredo Portillo,6429e9b0,2003-2009,DF
136,Luis Alfredo Vila,af887571,2013-2019,FW
137,Lucas Algozino,00d6bcb1,2015-2018,MF
138,Rodrigo Aliendro,8b259046,2016-2020,MF
139,Ignacio Aliseda,bb8099ee,2018-2020,MF
140,Agustín Allione,cfc832a8,2011-2020,MF
141,Fernando Alloco,16ebb11e,2005-2016,DF
142,Alejandro Almada,1ea5bd91,2016-2017,MF
143,Facundo Almada,cd60f3ce,2018-2020,DF
144,Mauricio Almada,398da769,2002-2008,DF
145,Thiago Almada,27f33438,2018-2020,FW
146,Héctor Almandoz,3e493ede,2002-2003,DF
147,Mariano Almandoz,8769cc0a,2012-2017,DF
148,José Almaraz,5435cee5,2004-2006,MF
149,Analía Almeida,45a3a50c,eida 2007,FW
150,Agustín Almendra,1f5f7c6c,2017-2020,MF
151,Federico Almerares,a6c5b8ff,2003-2014,FW
